"November 8, 2016",DEM,REP,CON,GRE,WOR,IND,WEP,LIB,Write-In,Blank,Void
North Greenbush 6,406,320,57,13,17,24,9,16,12,11,1
North Greenbush 7,227,305,69,11,4,15,4,10,9,4,0
North Greenbush 8,403,388,82,7,22,26,7,12,13,10,0
Petersburgh 1,227,364,56,17,8,17,4,11,6,7,0
Pittstown 1,94,186,34,4,6,5,0,8,4,4,0
Pittstown 2,85,233,46,6,4,11,1,3,1,3,0
Pittstown 3,118,367,53,10,3,11,0,6,10,0,0
Pittstown 4,226,326,59,15,5,19,6,11,4,4,0
Pittstown 5,109,271,43,6,4,14,1,7,2,2,0
Pittstown 6,96,174,39,10,7,12,1,5,5,2,0
Poestenkill 1,143,194,23,3,9,13,0,5,6,6,0
Poestenkill 2,233,401,74,18,18,32,7,9,16,0,0
Poestenkill 3,122,153,20,5,9,10,1,2,4,2,0
Poestenkill 4,325,368,72,11,26,29,6,9,2,17,0
Sand Lake 1,599,621,132,41,40,51,12,14,26,13,0
Sand Lake 2,305,363,73,9,24,28,6,12,6,10,0
Sand Lake 3,433,422,92,10,28,26,8,10,7,11,0
Sand Lake 4,153,150,36,4,12,8,0,8,4,4,0
Sand Lake 5,251,254,48,9,16,16,6,10,7,6,0
Sand Lake 6,162,157,29,11,8,19,6,5,7,6,0
Schaghticoke 1,222,391,107,17,15,26,7,9,3,7,0
Schaghticoke 2,68,126,28,3,5,7,2,3,2,2,0
Schaghticoke 3,172,310,67,11,5,22,4,9,8,6,0
Schaghticoke 4,129,195,25,6,7,16,2,5,3,5,0
Schaghticoke 5,184,208,35,10,13,6,8,9,7,2,0
Schaghticoke 6,233,360,59,11,12,22,1,6,7,7,0
Schaghticoke 7,188,377,76,11,13,24,7,9,10,3,0
Schodack 1,282,297,35,7,16,9,6,4,3,2,0
Schodack 2,145,177,24,1,7,6,5,8,5,4,0
Schodack 3,305,265,53,5,22,14,9,4,3,6,0
Schodack 4,287,370,52,12,30,18,8,14,10,2,0
Schodack 5,195,165,24,12,14,10,7,9,11,2,0
Schodack 6,326,345,62,15,10,25,6,16,11,6,0
Schodack 7,311,330,61,16,15,24,11,15,4,3,0
Schodack 8,256,319,71,11,11,11,10,15,15,1,0
Schodack 9,166,154,30,5,6,22,4,3,1,4,0
Schodack 10,250,245,23,9,12,16,4,13,3,5,0
Schodack 11,313,291,48,8,16,32,5,11,7,8,0
Stephentown 1,218,283,37,17,8,13,3,4,6,6,1
Stephentown 2,293,325,66,13,22,18,12,7,7,6,1
